firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
07/05/2026;EUROTLX;EUROTLX;XS3318840223;Lottomaticag Fx 4.625% Apr32 Call Eur;EUR;100000;;;;30/04/2032;;
07/05/2026;EUROTLX;EUROTLX;XS2433136194;Israel Fx 0.625% Jan32 Eur;EUR;1000;;;;18/01/2032;;
07/05/2026;EUROTLX;EUROTLX;XS1936101291;Israel Fx 2.5% Jan49 Eur;EUR;1000;;;;16/01/2049;;
07/05/2026;EUROTLX;EUROTLX;XS1936100483;Israel Fx 1.5% Jan29 Eur;EUR;1000;;;;16/01/2029;;
07/05/2026;EUROTLX;EUROTLX;US46513JB593;Israel Fx 4.5% Apr20 Usd;USD;200000;;;;03/04/2120;;
07/05/2026;EUROTLX;EUROTLX;US066716AB78;Cb Tunisia Fx 8.25% Sep27 Usd;USD;1000;;;;19/09/2027;;
05/05/2026;EUROTLX;EUROTLX;XS3341155771;Barclaysbank Indlink May38 Autocall Eur;EUR;1000;;;;05/05/2038;;
05/05/2026;EUROTLX;EUROTLX;XS3199026785;Deutschebank Mc May31 Eur;EUR;1000;;;;05/05/2031;;
04/05/2026;EUROTLX;EUROTLX;XS3349823941;Gg12 Spa Fx 6.25% Apr33 Call Eur;EUR;100000;;;;28/04/2033;;
04/05/2026;EUROTLX;EUROTLX;IT0005706871;Isp Mc Apr36 Usd;USD;2000;;;;29/04/2036;;
04/05/2026;MOT;EUROMOT;XS3362255237;Italy Fr Oct41 Eur;EUR;100000;Senior;30/04/2026;;30/10/2041;;
04/05/2026;MOT;EUROMOT;IT0005706871;Isp Mc Apr36 Usd;USD;2000;Senior;29/04/2026;;29/04/2036;;
30/04/2026;EUROTLX;EUROTLX;XS3323924251;Bnpparibasis Fr Apr30 Eur;EUR;1000;;;;24/04/2030;;
30/04/2026;EUROTLX;EUROTLX;XS3305127337;Deutschebank Oc Ind Link Apr31 Eur;EUR;1000;;;;30/04/2031;;
30/04/2026;EUROTLX;EUROTLX;XS3199545545;Bnpparibasis Mc Apr31 Eur;EUR;1000;;;;16/04/2031;;
30/04/2026;EUROTLX;EUROTLX;IT0005707085;Bancasellaho Mc Apr31 Call Eur;EUR;100000;;;;28/04/2031;;
30/04/2026;MOT;EUROMOT;EU000A4ETUZ1;Bei Fx 2.625% Oct29 Eur;EUR;1000;Senior;28/04/2026;;15/10/2029;;
30/04/2026;MOT;BTP;IT0005707614;Btp Fx 3.15% Jun31 Eur;EUR;1000;Senior;04/05/2026;;01/06/2031;;
29/04/2026;EUROTLX;EUROTLX;IT0005706244;Bmps Fx 3.059% Apr29 Est Covered Cal Eur;EUR;100000;;;;29/04/2029;;
29/04/2026;MOT;EUROMOT;DE000BU22130;Schatz Fx 2.5% Jun28 Eur;EUR;1;Senior;23/04/2026;;14/06/2028;;
28/04/2026;EUROTLX;EUROTLX;IT0005707291;Unicredit Spa Fr Eur3m+0.35% Oct29 Eur;EUR;150000;;;;27/10/2029;;
27/04/2026;MOT;EUROMOT;XS3344416287;Kfw Green Fx 2.875% Jun31 Eur;EUR;1000;Senior;16/04/2026;;30/06/2031;;
27/04/2026;MOT;EUROMOT;US298785KR65;Bei Fx 3.75% May29 Usd;USD;1000;Senior;21/04/2026;;15/05/2029;;
27/04/2026;MOT;EUROMOT;FI4000602891;Finland Fx 3.35% Sep36 Eur;EUR;1000;Senior;16/04/2026;;15/09/2036;;
24/04/2026;MOT;EUROMOT;FR0014017Z10;Oat Green Fx 3.8% Jun37 Eur;EUR;1;Senior;25/06/2025;;25/06/2037;;
24/04/2026;MOT;EUROMOT;EU000A4ES497;Eu Safe Fx 4% Oct46 Eur;EUR;1;Senior;21/04/2026;;12/10/2046;;
23/04/2026;EUROTLX;EUROTLX;XS3337015450;Sg Issuer Mc Ind Link Apr36 Call Eur;EUR;1000;;;;23/04/2036;;
23/04/2026;EUROTLX;EUROTLX;US22541LAE39;Ubs Americas Fx 7.125% Jul32 Call Usd;USD;1000;;;;15/07/2032;;
22/04/2026;EUROTLX;EUROTLX;US38141GFD16;Gs Group Fx 6.75% Oct37 T2 Call Usd;USD;2000;;;;01/10/2037;;
22/04/2026;EUROTLX;EUROTLX;US172967HA25;Citigroup  Fx 6.675% Sep43 T2 Usd;USD;1000;;;;13/09/2043;;
21/04/2026;EUROTLX;EUROTLX;US38141GGM06;Gs Group Fx 6.25% Feb41 Usd;USD;2000;;;;01/02/2041;;
21/04/2026;EUROTLX;EUROTLX;US404280AM17;Hsbc Holdings Fx 6.1% Jan42 Usd;USD;2000;;;;14/01/2042;;
20/04/2026;EUROTLX;EUROTLX;IT0005704900;Unicredit Spa Mc Apr32 Call Eur;EUR;150000;;;;16/04/2032;;
20/04/2026;MOT;EUROMOT;XS3339839154;Ebrd Zc Apr33 Try;TRY;10000;Senior;14/04/2026;;14/04/2033;;
20/04/2026;MOT;BTP;IT0005706285;Btp Fx 3.8% Jul36 Eur;EUR;1000;Senior;22/04/2026;;01/07/2036;;
20/04/2026;MOT;BTP;IT0005706293;Btpi Fx Feb46 Eur;EUR;1000;Senior;15/02/2026;;15/02/2046;;
17/04/2026;EUROTLX;EUROTLX;XS2576550086;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
17/04/2026;EUROTLX;EUROTLX;XS2312746345;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
17/04/2026;EUROTLX;EUROTLX;XS2312744217;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
17/04/2026;EUROTLX;EUROTLX;XS2228373671;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
17/04/2026;EUROTLX;EUROTLX;XS1713463559;Enel Spa Mc Nov81 Sub Call Eur;EUR;100000;;;;24/11/2081;;
17/04/2026;EUROTLX;EUROTLX;IT0005705097;Unicredit Spa Mc Ind Link Apr36 Eur;EUR;1000;;;;17/04/2036;;
17/04/2026;MOT;DOMESTICMOT;IT0005705097;Unicredit Spa Mc Ind Link Apr36 Eur;EUR;1000;Senior;17/04/2026;;17/04/2036;;
16/04/2026;EUROTLX;EUROTLX;XS2975137964;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
16/04/2026;EUROTLX;EUROTLX;XS2975137618;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
16/04/2026;EUROTLX;EUROTLX;XS2576550243;Enel Spa Mc Perpetual Sub Call Eur;EUR;100000;;;;;;
16/04/2026;MOT;DOMESTICMOT;IT0005704207;Italgas Spa Fx 3.625% Apr32 Call Eur;EUR;100000;Senior;16/04/2026;;16/04/2032;;
15/04/2026;MOT;EUROMOT;US857524AL62;Poland Fx 6.125% Apr56 Call Usd;USD;1000;Senior;14/04/2026;;14/04/2056;;
15/04/2026;MOT;EUROMOT;US857524AK89;Poland Fx 5.375% Apr36 Call Usd;USD;1000;Senior;14/04/2026;;14/04/2036;;
15/04/2026;MOT;EUROMOT;US857524AJ17;Poland Fx 4.625% Apr31 Call Usd;USD;1000;Senior;14/04/2026;;14/04/2031;;
14/04/2026;EUROTLX;EUROTLX;US105756CN87;Brazil Fx 7.25% Jan56 Call Usd;USD;200000;;;;12/01/2056;;
14/04/2026;EUROTLX;EUROTLX;US105756CL22;Brazil Fx 6.625% Mar35 Call Usd;USD;200000;;;;15/03/2035;;
14/04/2026;EUROTLX;EUROTLX;US105756CJ75;Brazil Fx 7.125% May54 Call Usd;USD;200000;;;;13/05/2054;;
14/04/2026;EUROTLX;EUROTLX;US105756CH10;Brazil Fx 6.125% Mar34 Call Usd;USD;200000;;;;15/03/2034;;
14/04/2026;EUROTLX;EUROTLX;US105756CG37;Brazil Sustain Fx 6.25% Mar31 Call Usd;USD;200000;;;;18/03/2031;;
14/04/2026;EUROTLX;EUROTLX;US105756CF53;Brazil Fx 6% Oct33 Call Usd;USD;200000;;;;20/10/2033;;
14/04/2026;EUROTLX;EUROTLX;US105756CB40;Brazil Fx 4.75% Jan50 Call Usd;USD;200000;;;;14/01/2050;;
14/04/2026;EUROTLX;EUROTLX;US105756BB58;Brazil Fx 8.25% Jan34 Usd;USD;1000;;;;20/01/2034;;
13/04/2026;EUROTLX;EUROTLX;XS3316102162;Sg Issuer Mc Ind Link Apr36 Call Eur;EUR;1000;;;;13/04/2036;;
13/04/2026;EUROTLX;EUROTLX;XS3316102089;Sg Issuer Mc Ind Link Apr36 Call Usd;USD;1000;;;;13/04/2036;;
13/04/2026;MOT;EUROMOT;PTOTVNOE0009;Portugal Fr Jul31 Eur;EUR;1000;Senior;18/07/2025;;18/07/2031;;
13/04/2026;MOT;BTP;IT0005704868;Btp Fx 3.3% Jun33 Eur;EUR;1000;Senior;15/04/2026;;15/06/2033;;
10/04/2026;EUROTLX;EUROTLX;US105756CP36;Brazil Sustainable Fx 5.5% Feb33 Call Usd;USD;200000;;;;04/02/2033;;
10/04/2026;EUROTLX;EUROTLX;US105756CK49;Brazil Sustainable Fx 6.125% Jan32 Call Usd;USD;200000;;;;22/01/2032;;
10/04/2026;MOT;BOT;IT0005704447;Bot Zc Apr27 A Eur;EUR;1000;Senior;;;14/04/2027;;
10/04/2026;MOT;BOT;IT0005704454;Bot Zc Jul26 Q Eur;EUR;1000;Senior;;;14/07/2026;;
09/04/2026;EUROTLX;EUROTLX;XS3315213614;Bnpparibasis Fr Oct27 Eur;EUR;1000;;;;07/10/2027;;
09/04/2026;EUROTLX;EUROTLX;XS3278058782;Bnpparibasis Mc Mar33 Eur;EUR;1000;;;;31/03/2033;;
09/04/2026;EUROTLX;EUROTLX;XS3278001089;Bnp Is Mc Indlink Mar34 Autocall Eur;EUR;1000;;;;31/03/2034;;
09/04/2026;EUROTLX;EUROTLX;XS3266397291;Bnpparibasis Oc Ind Link Mar31 Call Eur;EUR;1000;;;;10/03/2031;;
09/04/2026;EUROTLX;EUROTLX;XS3252943298;Cacib Fs Fx 2.8% Mar29 Eur;EUR;100000;;;;26/03/2029;;
09/04/2026;EUROTLX;EUROTLX;IT0005697583;Mediobanca Mc Apr31 Eur;EUR;1000;;;;08/04/2031;;
09/04/2026;EUROTLX;EUROTLX;IT0005695108;Unicredit Spa Mc Ind Link Mar32 Eur;EUR;1000;;;;31/03/2032;;
09/04/2026;MOT;EUROMOT;XS3306525786;Iadb Sustainable Zc Mar46 Mxn;MXN;100000;Senior;06/03/2026;;06/03/2046;;
09/04/2026;MOT;EUROMOT;XS3298855001;Kfw Green Fx 3.5% Feb28 Pln;PLN;500000;Senior;17/02/2026;;17/02/2028;;
09/04/2026;MOT;EUROMOT;XS3295815511;Adb Fx 2% Feb38 Cny;CNY;500000;Senior;26/02/2026;;26/02/2038;;
07/04/2026;EUROTLX;EUROTLX;XS3253291572;Gs Fin Corp Mc Ind Link Mar32 Eur;EUR;1000;;;;31/03/3032;;
01/04/2026;EUROTLX;EUROTLX;US105756CM05;Brazil Fx 5.5% Nov30 Call Usd;USD;200000;;;;06/11/2030;;
01/04/2026;EUROTLX;EUROTLX;US105756CC23;Brazil Fx 3.875% Jun30 Call Usd;USD;200000;;;;12/06/2030;;
01/04/2026;EUROTLX;EUROTLX;US105756CE88;Brazil Fx 3.75% Sep31 Call Usd;USD;200000;;;;12/09/2031;;
01/04/2026;EUROTLX;EUROTLX;US105756CA66;Brazil Fx 4.5% May29 Call Usd;USD;200000;;;;30/05/2029;;
01/04/2026;EUROTLX;EUROTLX;US105756BZ27;Brazil Fx 4.625% Jan28 Call Usd;USD;200000;;;;13/01/2028;;
31/03/2026;EUROTLX;EUROTLX;XS2176897754;Egypt Fx 7.625% May32 Usd;USD;200000;;;;29/05/2032;;
31/03/2026;EUROTLX;EUROTLX;XS1953057061;Egypt Fx 7.6003% Mar29 Usd;USD;200000;;;;01/03/2029;;
31/03/2026;EUROTLX;EUROTLX;XS1775618439;Egypt Fx 6.588% Feb28 Usd;USD;200000;;;;21/02/2028;;
31/03/2026;MOT;EUROMOT;XS3298822688;World Bank Sust Fx 1.95% Mar31 Call Eur;EUR;1000;Senior;31/03/2026;;31/03/2031;;
30/03/2026;EUROTLX;EUROTLX;XS3305125802;Deutschebank Sc Mar38 Call Eur;EUR;1000;;;;26/03/2038;;
30/03/2026;EUROTLX;EUROTLX;XS3305125984;Deutschebank Sc Mar38 Call Usd;USD;2000;;;;26/03/2038;;
27/03/2026;EUROTLX;EUROTLX;XS2391395154;Egypt Fx 7.3% Sep33 Usd;USD;200000;;;;30/09/2033;;
27/03/2026;EUROTLX;EUROTLX;XS2391394348;Egypt Fx 5.8% Sep27 Usd;USD;200000;;;;30/09/2027;;
27/03/2026;EUROTLX;EUROTLX;XS2297226545;Egypt Fx 5.875% Feb31 Usd;USD;200000;;;;16/02/2031;;
27/03/2026;EUROTLX;EUROTLX;XS1807305328;Egypt Fx 5.625% Apr30 Eur;EUR;100000;;;;16/04/2030;;
27/03/2026;MOT;EUROMOT;XS3325443227;World Bank Sustainable Zc Mar31 Brl;BRL;10000;Senior;24/03/2026;;24/03/2031;;
27/03/2026;MOT;EUROMOT;XS3315495765;Gs Fin Corp Fx 5.8% Mar41 Call Usd;USD;100;Senior;26/03/2026;;26/03/2041;;
27/03/2026;MOT;EUROMOT;XS3315491186;Gs Fin Corp Fx 4.5% Mar41 Call Eur;EUR;100;Senior;26/03/2026;;26/03/2041;;
27/03/2026;MOT;EUROMOT;XS3271042254;Enel Spa Mc Perpetual Sub Call Eur;ERR;100000;Q;14/01/2026;;;;
27/03/2026;MOT;EUROMOT;XS3271042098;Enel Spa Mc Perpetual Sub Call Eur;ERR;100000;Q;14/01/2026;;;;
27/03/2026;MOT;BOT;IT0005702656;Bot Zc Sep26 S Eur;EUR;1000;Senior;;;30/09/2026;;
26/03/2026;EUROTLX;EUROTLX;IT0005692543;Mediobanca Fx 3.65% Mar29 Usd;USD;2000;;;;25/03/2029;;
26/03/2026;MOT;EUROMOT;XS3317523044;Adb Zc Jan37 Brl;BRL;10000;Senior;20/03/2026;;05/01/2037;;
25/03/2026;EUROTLX;EUROTLX;XS2990500766;Egypt Fx 9.45% Feb33 Usd;USD;200000;;;;04/02/2033;;
25/03/2026;EUROTLX;EUROTLX;XS2989586941;Egypt Fx 8.625% Feb30 Usd;USD;200000;;;;04/02/2030;;
25/03/2026;MOT;DOMESTICMOT;IT0005700825;Marziofinanc Fx 2.25% Dec50 Amort Call;EUR;100000;O;25/03/2026;;31/12/2050;;
25/03/2026;MOT;DOMESTICMOT;IT0005700817;Marziofinanc Fr Eur1m+0.69% Dec50 Amort;EUR;100000;Senior;25/03/2026;;31/12/2050;;
24/03/2026;EUROTLX;EUROTLX;XS3298383319;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
24/03/2026;EUROTLX;EUROTLX;XS3295422466;Barclaysbank Oc Mar51 Call Gbp;GBP;1000;;;;24/03/2051;;
24/03/2026;EUROTLX;EUROTLX;US900123CG37;Turkey Fx 6.625% Feb45 Usd;USD;200000;;;;17/02/2045;;
24/03/2026;EUROTLX;EUROTLX;US900123CB40;Turkey Fx 4.875% Apr43 Usd;USD;200000;;;;16/04/2043;;
24/03/2026;EUROTLX;EUROTLX;US900123BJ84;Turkey Fx 6% Jan41 Usd;USD;200000;;;;14/01/2041;;
24/03/2026;EUROTLX;EUROTLX;US900123BG46;Turkey Fx 6.75% May40 Usd;USD;100000;;;;30/05/2040;;
24/03/2026;EUROTLX;EUROTLX;US900123AY60;Turkey Fx 6.875% Mar36 Usd;USD;2000;;;;17/03/2036;;
24/03/2026;EUROTLX;EUROTLX;IT0005700379;Isp Fx 2.91% Mar28 Eur;EUR;100000;;;;24/03/2028;;
24/03/2026;EUROTLX;EUROTLX;IT0005700387;Isp Fx 3.2% Mar31 Eur;EUR;100000;;;;24/03/2031;;
23/03/2026;EUROTLX;EUROTLX;XS3079581479;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
23/03/2026;EUROTLX;EUROTLX;XS2824056522;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
23/03/2026;EUROTLX;EUROTLX;XS2678939427;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
23/03/2026;EUROTLX;EUROTLX;XS2463450408;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
23/03/2026;EUROTLX;EUROTLX;IT0005667933;Bcc Pianfei Fx 2.25% Mar28 Eur;EUR;1000;;;;10/03/2028;;
20/03/2026;EUROTLX;EUROTLX;XS3278013258;Bnpparibasis Fr Mar29 Eur;EUR;1000;;;;16/03/2029;;
20/03/2026;EUROTLX;EUROTLX;XS3080684551;Grenkefinanc Fx 5.25% Apr30 Eur;EUR;1000;;;;08/04/2030;;
20/03/2026;EUROTLX;EUROTLX;XS2905582479;Grenke Social Fx 5.125% Jan29 Eur;EUR;1000;;;;04/01/2029;;
20/03/2026;EUROTLX;EUROTLX;XS2828685631;Grenkefinanc Fx 5.75% Jul29 Eur;EUR;1000;;;;06/07/2029;;
20/03/2026;EUROTLX;EUROTLX;XS2695009998;Grenke Green Fx 7.875% Apr27 Eur;EUR;1000;;;;06/04/2027;;
20/03/2026;EUROTLX;EUROTLX;XS2356217039;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;EUROTLX;EUROTLX;XS2121441856;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;EUROTLX;EUROTLX;XS1963834251;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;EUROTLX;EUROTLX;IT0005690471;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;EUROTLX;EUROTLX;IT0005636532;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;EUROTLX;EUROTLX;IT0005611758;Unicredit Spa Mc Perpetual Call Eur;EUR;200000;;;;;;
20/03/2026;MOT;EUROMOT;NL0015073VV8;Netherlands Fx 2.75% Jul36 Eur;EUR;1;Senior;05/03/2026;;15/07/2036;;
20/03/2026;MOT;EUROMOT;EU000A4ERVC2;Eu Next Gen Fx 3.25% Dec36 Eur;EUR;1;Senior;17/03/2026;;12/12/2036;;
19/03/2026;EUROTLX;EUROTLX;XS3298382931;Isp Mc Perpetual Sub Call Eur;EUR;200000;;;;;;
19/03/2026;EUROTLX;EUROTLX;XS3178086230;Symrise Ag Fx 3.25% Sep32 Call Eur;EUR;1000;;;;24/09/2032;;
19/03/2026;EUROTLX;EUROTLX;XS2195096420;Symrise Ag Fx 1.375% Jul27 Call Eur;EUR;1000;;;;01/07/2027;;
19/03/2026;EUROTLX;EUROTLX;XS2124980256;Isp Mc Perpetual Sub Call Eur;EUR;250000;;;;;;
19/03/2026;MOT;EUROMOT;EU000A2SCAY6;Efsf Fx 2.5% Mar31 Eur;EUR;1000;Senior;03/03/2026;;03/03/2031;;
18/03/2026;EUROTLX;EUROTLX;XS2832873355;Fraportfrank Fx 4.25% Jun32 Call Eur;EUR;1000;;;;11/06/2032;;
18/03/2026;EUROTLX;EUROTLX;XS2324724645;Fraportfrank Fx 1.875% Mar28 Call Eur;EUR;1000;;;;31/03/2028;;
18/03/2026;EUROTLX;EUROTLX;XS2198879145;Fraportfrank Fx 2.125% Jul27 Call Eur;EUR;1000;;;;09/07/2027;;
18/03/2026;EUROTLX;EUROTLX;US260543CL56;Dow Chemical Fx 4.625% Oct44 Call Usd;USD;2000;;;;01/10/2044;;
18/03/2026;EUROTLX;EUROTLX;US260543CK73;Dow Chemical Fx 4.25% Oct34 Call Usd;USD;2000;;;;01/10/2034;;
18/03/2026;EUROTLX;EUROTLX;US260543CE14;Dow Chemical Fx 5.25% Nov41 Call Usd;USD;2000;;;;15/11/2041;;
18/03/2026;EUROTLX;EUROTLX;US260543BY86;Dow Chemical Mc C.P May39 Call Usd;USD;2000;;;;15/05/2039;;
18/03/2026;EUROTLX;EUROTLX;AT0000A37249;Wienerberger Sdg Fx 4.875%Oct28 Call Eur;EUR;1000;;;;04/10/2028;;
17/03/2026;EUROTLX;EUROTLX;XS2938562068;Kion Group Ag Fx 4% Nov29 Call Eur;EUR;1000;;;;20/11/2029;;
17/03/2026;EUROTLX;EUROTLX;XS2905504754;Knorrbremsea Green Fx 3.25% Sep32 Call Eur;EUR;1000;;;;30/09/2032;;
17/03/2026;EUROTLX;EUROTLX;XS2905504671;Knorrbremsea Fx 3% Sep29 Call Eur;EUR;1000;;;;30/09/2029;;
17/03/2026;EUROTLX;EUROTLX;XS2383886947;Lanxess Ag Fx 0% Sep27 Call Eur;EUR;1000;;;;08/09/2027;;
17/03/2026;EUROTLX;EUROTLX;XS2047479469;Hella Gmbh Fx 0.5% Jan27 Call Eur;EUR;1000;;;;26/01/2027;;
17/03/2026;EUROTLX;EUROTLX;DE000A2YB7B5;Schaeffler Ag Fx 2.875% Mar27 Call Eur;EUR;1000;;;;26/03/2027;;
16/03/2026;EUROTLX;EUROTLX;XS3293879923;Bnpparibasis Mc Ind Link Mar36 Call Eur;EUR;1000;;;;16/03/2036;;
16/03/2026;EUROTLX;EUROTLX;XS3293879840;Bnpparibasis Mc Ind Link Mar36 Call Eur;EUR;1000;;;;17/03/2036;;
16/03/2026;EUROTLX;EUROTLX;XS3282071417;Sg Issuer Mc Mar31 Autocall Eur;EUR;1000;;;;11/03/2031;;
16/03/2026;EUROTLX;EUROTLX;XS3282024929;Sg Issuer Oc Eq Link Mar30 Autocall Eur;EUR;1000;;;;13/03/2030;;
16/03/2026;EUROTLX;EUROTLX;XS3282024846;Sg Issuer Oc Ind Link Mar30 Autocall Eur;EUR;1000;;;;13/03/2030;;
16/03/2026;EUROTLX;EUROTLX;XS3236821784;Bnpparibasis Fr Jan31 Eur;EUR;1000;;;;30/01/2031;;
16/03/2026;EUROTLX;EUROTLX;IT0005696650;Mediobanca Fr Eur3m+0.45% Mar29 Eur;EUR;1000;;;;13/03/2029;;
13/03/2026;EUROTLX;EUROTLX;XS3281182629;Barclaysbank Ind Link Mar36 Autocall Eur;EUR;1000;;;;13/03/2036;;
13/03/2026;EUROTLX;EUROTLX;XS3281697469;Deutschebank Oc Ind Link Mar31 Eur;EUR;1000;;;;13/03/2031;;
13/03/2026;EUROTLX;EUROTLX;XS2643320109;Porscheautom Fx 4.25% Sep30 Call Eur;EUR;1000;;;;27/09/2030;;
13/03/2026;EUROTLX;EUROTLX;DE000A3E5S00;Hochtief Ag Fx 0.625% Apr29 Call Eur;EUR;1000;;;;26/04/2029;;
13/03/2026;EUROTLX;EUROTLX;DE000A351WB9;Sixt Se Fx 5.125% Oct27 Call Eur;EUR;1000;;;;09/10/2027;;
13/03/2026;EUROTLX;EUROTLX;DE000A2YN2V0;Hochtief Ag Fx 1.25% Sep31 Call Eur;EUR;1000;;;;03/09/2031;;
13/03/2026;EUROTLX;EUROTLX;DE000A2YN2U2;Hochtief Ag Fx 0.5% Sep27 Call Eur;EUR;1000;;;;03/09/2027;;
12/03/2026;EUROTLX;EUROTLX;XS3309874132;World Bank Fx 2.3% Mar33 Call Eur;EUR;1000;;;;12/03/2033;;
12/03/2026;EUROTLX;EUROTLX;XS3251189463;Bnp Paribas Credit Linked Jan36 Call Eur;EUR;1000;;;;08/01/2036;;
12/03/2026;MOT;EUROMOT;DE000BU3F007;Bund Green Bond Fx 2.6% May41 Eur;EUR;1;Senior;15/05/2025;;15/05/2041;;
12/03/2026;MOT;EUROMOT;AT0000A3T279;Austria Fx 3.75% Mar56 Eur;EUR;100;Senior;10/03/2026;;20/03/2056;;
12/03/2026;MOT;BOT;IT0005699340;Bot Zc Mar27 A Eur;EUR;1000;Senior;;;12/03/2027;;
11/03/2026;EUROTLX;EUROTLX;XS3251192418;Bnpparibas Ind Link Feb33 Autocall Eur;EUR;1000;;;;28/02/2033;;
11/03/2026;EUROTLX;EUROTLX;XS3251176643;Bnpparibasis Fr Feb29 Eur;EUR;1000;;;;16/02/2029;;
11/03/2026;EUROTLX;EUROTLX;IT0005697872;Cr Bolzano Mc Mar32 Call Eur;EUR;100000;;;;10/03/2032;;
11/03/2026;MOT;BTP;IT0005696338;Btp Valore Sc Mar32 Eur;EUR;1000;Senior;10/03/2026;;10/03/2032;;
09/03/2026;EUROTLX;EUROTLX;IT0005698458;Unicredit Spa Oc Mar46 Call Eur;EUR;1000;;;;09/03/2046;;
09/03/2026;EUROTLX;EUROTLX;IT0005686297;Unicredit Spa Mc Ind Link Feb32 Eur;EUR;1000;;;;27/02/2032;;
09/03/2026;MOT;DOMESTICMOT;IT0005698458;Unicredit Spa Oc Mar46 Call Eur;EUR;1000;Senior;09/03/2026;;09/03/2046;;
09/03/2026;MOT;EUROMOT;XS3307981491;Romania Fx 5.75% Jul36 Usd;USD;2000;Senior;04/03/2026;;04/07/2036;;
09/03/2026;MOT;EUROMOT;XS3307442197;Romania Fx 4.625% Mar33 Eur;EUR;1000;Senior;04/03/2026;;04/03/2033;;
09/03/2026;MOT;EUROMOT;EU000A4EQY56;Bei Green Fx 2.625% Mar34 Eur;EUR;1000;Senior;03/03/2026;;15/03/2034;;
05/03/2026;EUROTLX;EUROTLX;XS3307977622;Danske Bank Green Mc Mar38 T2 Call Eur;EUR;100000;;;;03/03/2038;;
05/03/2026;EUROTLX;EUROTLX;XS3280731020;Barclaysbank Ind Link Mar36 Autocall Eur;EUR;1000;;;;05/03/2036;;
05/03/2026;MOT;EUROMOT;ES0000012R56;Obligaciones Fx 3.95% Oct56 Eur;EUR;1000;Senior;03/03/2026;;31/10/2056;;
04/03/2026;EUROTLX;EUROTLX;XS3267899923;Saudi Arabia Fx 5.875% Jan56 Usd;USD;200000;;;;12/01/2056;;
04/03/2026;EUROTLX;EUROTLX;XS2814291915;Gs Fin Corp Mc Ind Link Feb32 Eur;EUR;1000;;;;27/02/2032;;
04/03/2026;EUROTLX;EUROTLX;XS2800678224;Air Baltic Fx 14.5% Aug29 Call Eur;EUR;100000;;;;14/08/2029;;
04/03/2026;EUROTLX;EUROTLX;XS2408613136;Saudi Arabia Fx 3.25% Nov51 Usd;USD;200000;;;;17/11/2051;;
04/03/2026;EUROTLX;EUROTLX;XS2294323386;Saudi Arabia Fx 3.45% Feb61 Usd;USD;200000;;;;02/02/2061;;
02/03/2026;EUROTLX;EUROTLX;XS3136496521;Citigroup Gm Sc Feb41 Call Eur;EUR;1000;;;;27/02/2041;;
02/03/2026;EUROTLX;EUROTLX;XS3015246922;Saudi Arabia Fx 3.75% Mar37 Eur;EUR;100000;;;;05/03/2037;;
02/03/2026;EUROTLX;EUROTLX;XS2999659886;Nissan Motor Fx 6.375% Jul33 Call Eur;EUR;100000;;;;17/07/2033;;
02/03/2026;EUROTLX;EUROTLX;XS2974969482;Saudi Arabia Fx 5.625% Jan35 Usd;USD;200000;;;;13/01/2035;;
02/03/2026;EUROTLX;EUROTLX;XS2747599509;Saudi Arabia Fx 5.75% Jan54 Usd;USD;200000;;;;16/01/2054;;
02/03/2026;EUROTLX;EUROTLX;XS2577136109;Saudi Arabia Fx 5% Jan53 Usd;USD;200000;;;;18/01/2053;;
02/03/2026;EUROTLX;EUROTLX;XS2159975882;Saudi Arabia Fx 4.5% Apr60 Usd;USD;200000;;;;22/04/2060;;
02/03/2026;EUROTLX;EUROTLX;XS2109770151;Saudi Arabia Fx 3.75% Jan55 Usd;USD;200000;;;;21/01/2055;;
02/03/2026;EUROTLX;EUROTLX;XS2024543055;Saudi Arabia Fx 2% Jul39 Eur;EUR;100000;;;;09/07/2039;;
27/02/2026;EUROTLX;EUROTLX;XS3194941111;Ion Platform Fx 6.875% Sep32 Call Eur;EUR;100000;;;;30/09/2032;;
25/02/2026;EUROTLX;EUROTLX;XS3303603057;Isp Fr Feb41 Eur;EUR;100000;;;;25/02/2041;;
