firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
07/06/2023;MOT;EUROMOT;XS2582194143;Ifc Tf 10% Fb27 Brl;BRL;10000;Senior;03/02/2023;;03/02/2027;;
07/06/2023;MOT;EUROMOT;XS2581211716;World Bank Green Bond Tf 6,25% Fb29 Inr;INR;500000;Senior;02/02/2023;;02/02/2029;;
07/06/2023;MOT;EUROMOT;XS2576077809;World Bank Green Bond Tf 6,25% Ge29 Idr;IDR;20000000;Senior;19/01/2023;;19/01/2029;;
05/06/2023;EUROTLX;EUROTLX;DE000A3LH6U5;Merc Green Int Fin Tf 3,7% Mg31 Eur;EUR;;Senior;;;30/05/2031;;
05/06/2023;EUROTLX;EUROTLX;DE000A3LH6T7;Merc Green Int Fin Tf 3,5% Mg26 Eur;EUR;;Senior;;;30/05/2026;;
01/06/2023;EUROTLX;EUROTLX;XS2623496085;Ford Motor Tf 6,125% Mg28 Eur;EUR;100000;Senior;;;15/05/2028;;
01/06/2023;EUROTLX;EUROTLX;XS2529233814;Intsanpaolo Green Tf 4,75% St27 Eur;EUR;150000;Senior;;;06/09/2027;;
01/06/2023;EUROTLX;EUROTLX;XS2304664597;Intsanpaolo Tf 1,35% Fb31 Eur;EUR;;Senior;;;24/02/2031;;
31/05/2023;EUROTLX;EUROTLX;IT0005543720;Mediobanca Tf 4,5% Mg27 Usd;USD;2000;Senior;;;30/05/2027;;
31/05/2023;MOT;EUROMOT;XS2626024868;Eib Tf 2,75% Lg30 Eur;EUR;1000;Senior;24/05/2023;;30/07/2030;;
31/05/2023;MOT;EUROMOT;XS2446841657;Eib Tf 0,38% St27 Eur;EUR;1000;Senior;22/02/2022;;15/09/2027;;
31/05/2023;MOT;EUROMOT;XS2439543047;Eib Green Tf 0,05% Nv29 Eur;EUR;1000;Senior;03/02/2022;;15/11/2029;;
31/05/2023;MOT;EUROMOT;XS2419364653;Eib Green Tf 0% Nv27 Eur;EUR;1000;Senior;09/12/2021;;15/11/2027;;
31/05/2023;MOT;EUROMOT;XS2388495942;Eib Tf 0% Dc26 Eur;EUR;1000;Senior;22/09/2021;;22/12/2026;;
31/05/2023;MOT;EUROMOT;XS2343538372;Eib Tf 0% St28 Eur;EUR;1000;Senior;19/05/2021;;28/09/2028;;
31/05/2023;MOT;EUROMOT;XS2251371022;Eib Tf 0% Mz28 Eur;EUR;1000;Senior;03/11/2020;;28/03/2028;;
31/05/2023;MOT;EUROMOT;XS2168048564;Eib Tf 0% Gn27 Eur;EUR;1000;Senior;06/05/2020;;17/06/2027;;
31/05/2023;MOT;EUROMOT;XS2154339860;Eib Sustainable Tf 0% Mg28 Eur;EUR;1000;Senior;15/04/2020;;15/05/2028;;
31/05/2023;MOT;BTP;IT0005548315;Btp Tf 3,8% Ag28 Eur;EUR;1000;Senior;01/06/2023;;01/08/2028;;
30/05/2023;EUROTLX;EUROTLX;XS2627121259;Fs Green Tf 4,125% Mg29 Eur;EUR;100000;Senior;;;23/05/2029;;
30/05/2023;EUROTLX;EUROTLX;XS2625968776;Bmw Fin Tf 3,625% Mg35 Eur;EUR;1000;Senior;;;22/05/2035;;
30/05/2023;EUROTLX;EUROTLX;XS2625968693;Bmw Fin Tf 3,25% Nv26 Eur;EUR;1000;Senior;;;22/11/2026;;
30/05/2023;EUROTLX;EUROTLX;XS2625968347;Bmw Fin Tf 3,25% Lg30 Eur;EUR;1000;Senior;;;22/07/2030;;
26/05/2023;EUROTLX;EUROTLX;IT0005543233;Bper Banca Tf 4,75% Mg26 Eur;EUR;;Senior;;;26/05/2026;;
26/05/2023;MOT;BTP;IT0005547812;Btpi Tf 2,4% Mg39 Eur;EUR;1000;Senior;15/05/2023;;15/05/2039;;
25/05/2023;EUROTLX;EUROTLX;XS2625196352;Intsanpaolo Green Tf 4,875% Mg30 Eur;EUR;100000;Senior;;;19/05/2030;;
25/05/2023;EUROTLX;EUROTLX;XS2625195891;Intsanpaolo Green Tf 4% Mg26 Eur;EUR;100000;Senior;;;19/05/2026;;
25/05/2023;EUROTLX;EUROTLX;XS2623956773;Eni Tf 4,25% Mg33 Call Eur;EUR;100000;Senior;;;19/05/2033;;
25/05/2023;EUROTLX;EUROTLX;XS2623957078;Eni Sdg Linked Tf 3,625% Mg27 Call Eur;EUR;100000;Senior;;;19/05/2027;;
25/05/2023;EUROTLX;EUROTLX;XS2558332438;Sg Sc Mg28 Call Eur;EUR;1000;Senior;;;25/05/2028;;
